"open","high","low","close","vwap","count","base_currency","base_issuer","base_volume","counter_currency","counter_issuer","counter_volume","open_time","close_time","start","buy_volume"
"0.0079207440","0.0083923771","0.0078559207","0.0082013419","0.0081719592","5784","XRP","","78004257.03602836","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","637447.6027182029","2016-03-22T01:07:30Z","2016-03-24T23:59:40Z","2016-03-22T00:00:00Z",""
"0.0081984161","0.0082108454","0.0079121784","0.0079358655","0.0080732950","2261","XRP","","27514705.74891501","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","222134.336094826","2016-03-25T00:00:21Z","2016-03-27T23:35:10Z","2016-03-25T00:00:00Z","NaN"
"0.0079291621","0.0079491255","0.0069731346","0.0069832730","0.0074534310","10992","XRP","","122881737.8158591","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","915890.5560372765","2016-03-28T00:25:11Z","2016-03-30T23:58:31Z","2016-03-28T00:00:00Z","NaN"
"0.0070017230","0.0075244544","0.0068798279","0.0074349441","0.0073117744","6210","XRP","","75297745.77087504","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","550560.1281410772","2016-03-31T00:03:00Z","2016-04-02T23:58:00Z","2016-03-31T00:00:00Z","NaN"
"0.0074368373","0.0074999999","0.0073340521","0.0073529411","0.0074039168","2836","XRP","","31748190.91369501","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","235060.9633324022","2016-04-03T00:04:41Z","2016-04-05T23:56:12Z","2016-04-03T00:00:00Z","NaN"
"0.0073533776","0.0073533776","0.0064854538","0.0065954134","0.0068006452","7470","XRP","","93142043.71760699","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","633425.997008166","2016-04-06T00:15:21Z","2016-04-08T23:59:32Z","2016-04-06T00:00:00Z","NaN"
"0.0065954148","0.0065954365","0.0056570372","0.0059083085","0.0060566626","9073","XRP","","132410443.2814727","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","801965.3821070887","2016-04-09T00:00:31Z","2016-04-11T23:53:32Z","2016-04-09T00:00:00Z","NaN"
"0.0059017178","0.0063456136","0.0055201035","0.0062221331","0.0058513059","8172","XRP","","82046206.007622","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","480077.4518537417","2016-04-12T00:00:01Z","2016-04-14T23:59:51Z","2016-04-12T00:00:00Z","NaN"
"0.0062085448","0.0065402223","0.0061700427","0.0064900465","0.0064074425","3734","XRP","","31086150.9277071","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","199182.7261294617","2016-04-15T00:02:31Z","2016-04-17T23:57:50Z","2016-04-15T00:00:00Z","NaN"
"0.0065114770","0.0075642964","0.0064999999","0.0074109118","0.0071121969","8463","XRP","","97785778.184279","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","695471.70429875","2016-04-18T00:01:41Z","2016-04-20T23:59:22Z","2016-04-18T00:00:00Z","NaN"
"0.0074074073","0.0076250658","0.0070120048","0.0072901118","0.0073564948","7722","XRP","","96839421.62387902","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","712398.7004979178","2016-04-21T00:00:22Z","2016-04-23T23:45:41Z","2016-04-21T00:00:00Z","NaN"
"0.0072901118","0.0074129409","0.0068609833","0.0068896809","0.0071984546","5004","XRP","","76660598.03566694","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","551837.8337443656","2016-04-24T00:42:31Z","2016-04-26T23:59:42Z","2016-04-24T00:00:00Z","NaN"
"0.0068908987","0.0069187766","0.0065150468","0.0067502335","0.0066899834","5517","XRP","","87464081.0739921","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","585133.2545698464","2016-04-27T00:01:02Z","2016-04-29T23:50:30Z","2016-04-27T00:00:00Z","NaN"
"0.0067504361","0.0068493150","0.0065514298","0.0065656018","0.0067174638","3396","XRP","","47061240.59554203","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","316132.181959345","2016-04-30T00:09:10Z","2016-05-02T23:56:40Z","2016-04-30T00:00:00Z","NaN"
"0.0065754894","0.0065832784","0.0060747197","0.0062007377","0.0063061576","3056","XRP","","47159398.24389809","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","297394.5955934477","2016-05-03T00:20:01Z","2016-05-05T23:33:42Z","2016-05-03T00:00:00Z","NaN"
"0.0062007377","0.0065471810","0.0061971243","0.0063385374","0.0063732354","4307","XRP","","51886999.91119212","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","330688.0642466138","2016-05-06T00:17:10Z","2016-05-08T23:59:31Z","2016-05-06T00:00:00Z","NaN"
"0.0063331221","0.0064542905","0.0061239930","0.0061322048","0.0062856279","3750","XRP","","50649443.33689995","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","318363.5546505561","2016-05-09T00:00:22Z","2016-05-11T23:48:12Z","2016-05-09T00:00:00Z","NaN"
"0.0061349692","0.0061988736","0.0060006000","0.0060259234","0.0061066918","2874","XRP","","31843228.78352895","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","194456.7826884922","2016-05-12T00:02:30Z","2016-05-14T23:59:12Z","2016-05-12T00:00:00Z","NaN"
